concert_name,artists,date,time,city,state,price_min,price_max
Dierks Bentley: Burning Man 2019,"['Dierks Bentley', 'Jon Pardi', 'Tenille Townes', 'Hot Country Knights']",2019-08-02,19:00:00,Wantagh,NY,34.25,34.25
Revolver Presents The 119 Show - An Evening With Lacuna Coil,['Lacuna Coil'],2019-07-23,19:00:00,New York,NY,24.0,24.0
Snail Mail,"['Snail Mail', 'Duster', 'SASAMI']",2019-08-01,19:00:00,New York,NY,25.0,25.0
Barry Manilow,['Barry Manilow'],2019-07-31,19:00:00,New York,NY,99.0,99.0
Barry Manilow,['Barry Manilow'],2019-08-03,20:00:00,New York,NY,99.0,99.0
Barry Manilow,['Barry Manilow'],2019-07-28,19:00:00,New York,NY,99.0,99.0
Killswitch Engage & Clutch with Special Guest: Cro-Mags JM,"['Killswitch Engage', 'Clutch', 'Cro-Mags']",2019-07-30,19:00:00,Huntington,NY,40.0,40.0
Scott Stapp of CREED,"['Scott Stapp', 'Weapons Of Anew']",2019-07-21,20:00:00,Huntington,NY,N/A,N/A
Ted Nugent,"['Ted Nugent', 'Michael Austin']",2019-08-10,20:00:00,Huntington,NY,N/A,N/A
Brad Paisley Tour 2019,"['Brad Paisley', 'Chris Lane', 'Riley Green']",2019-07-26,19:30:00,Syracuse,NY,20.0,20.0
Chris Isaak,['Chris Isaak'],2019-07-28,20:00:00,Huntington,NY,39.5,39.5
Jon Anderson of Yes,['Jon Anderson'],2019-07-26,20:00:00,Staten Island,NY,45.0,45.0
Barry Manilow,['Barry Manilow'],2019-08-02,20:00:00,New York,NY,99.0,99.0
Revolver Presents The 119 Show - An Evening With Lacuna Coil,['Lacuna Coil'],2019-07-23,19:00:00,New York,NY,24.0,24.0
Barry Manilow,['Barry Manilow'],2019-08-06,19:00:00,New York,NY,99.0,99.0
Barry Manilow,['Barry Manilow'],2019-08-10,20:00:00,New York,NY,99.0,99.0
New Hope Club,"['New Hope Club', 'Meg Donnelly', 'Taylor Grey']",2019-07-25,19:00:00,New York,NY,18.5,18.5
Barry Manilow,['Barry Manilow'],2019-08-04,19:00:00,New York,NY,99.0,99.0
Barry Manilow,['Barry Manilow'],2019-08-07,19:00:00,New York,NY,99.0,99.0
Barry Manilow,['Barry Manilow'],2019-08-14,19:00:00,New York,NY,99.0,99.0
Barry Manilow,['Barry Manilow'],2019-08-13,19:00:00,New York,NY,99.0,99.0
Dierks Bentley: Burning Man 2019,"['Dierks Bentley', 'Jon Pardi', 'Tenille Townes']",2019-08-01,19:00:00,Darien Center,NY,N/A,N/A
Steve Miller Band,"['Steve Miller Band', 'Marty Stuart']",2019-07-28,18:30:00,Kingston,NY,56.0,56.0
Miss May I with the Word Alive,"['Miss May I', 'The Word Alive', 'Afterlife', 'Thousand Below', ""Another Day's Armor""]",2019-07-20,18:00:00,New York,NY,18.0,18.0
Barry Manilow,['Barry Manilow'],2019-08-09,20:00:00,New York,NY,99.0,99.0
Scott Stapp of Creed - Presented by 94.3 The Shark,"['Scott Stapp', 'Messer', 'Alien Atmosphere']",2019-07-25,20:00:00,New York,NY,N/A,N/A
Gordon Lightfoot,['Gordon Lightfoot'],2019-08-02,20:00:00,Bethel,NY,N/A,N/A
Barry Manilow,['Barry Manilow'],2019-08-11,19:00:00,New York,NY,99.0,99.0
Gordon Lightfoot,['Gordon Lightfoot'],2019-08-01,20:00:00,Bethel,NY,N/A,N/A
Bad Religion w/ The Explosion,"['Bad Religion', 'The Explosion']",2019-08-03,20:00:00,Brooklyn,NY,N/A,N/A
Brad Paisley Tour 2019,"['Brad Paisley', 'Chris Lane', 'Riley Green']",2019-07-25,19:30:00,Saratoga Springs,NY,20.0,20.0
Bryan Ferry,['Bryan Ferry'],2019-08-07,20:00:00,Port Chester,NY,N/A,N/A
The Struts,['The Struts'],2019-07-25,17:00:00,Buffalo,NY,N/A,N/A
Slash w/ Myles Kennedy,"['Slash', 'Myles Kennedy']",2019-07-31,20:00:00,Port Chester,NY,N/A,N/A
Lou Gramm and Asia with John Payne,"['Lou Gramm', 'Asia']",2019-07-26,19:00:00,Middletown,NY,30.0,30.0
"Nelly, TLC, and Flo Rida","['Nelly', 'TLC', 'Flo Rida']",2019-08-01,19:00:00,Wantagh,NY,25.0,25.0
21 Savage - i am > i was Tour,"['21 Savage', 'Calboy', 'Young Nudy']",2019-08-08,19:30:00,New York,NY,59.5,59.5
The Struts,['The Struts'],2019-07-26,19:30:00,Utica,NY,N/A,N/A
I PREVAIL: The Trauma Tour,['I Prevail'],2019-07-22,19:25:00,Clifton Park,NY,N/A,N/A
Rob Thomas: Chip Tooth Tour,"['Rob Thomas', 'Abby Anderson']",2019-08-02,20:00:00,Port Chester,NY,N/A,N/A
The Menzingers,['The Menzingers'],2019-07-21,20:00:00,Woodstock,NY,N/A,N/A
